year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,games_played
2015,Jalston Fowler,Jalston,Fowler,FB,5,11.0000,71.0000,254,0.0000,0.0000,4.9400,0.0000,0.0000,4.4000,7.5600,33.5000,114,23,0,Alabama,,0,0,0,5.1,16
2015,Jalston Fowler,Jalston,Fowler,FB,5,11.0000,71.0000,254,0.0000,0.0000,4.9400,0.0000,0.0000,4.4000,7.5600,33.5000,114,23,0,Alabama,,0,0,0,5.1,16
2015,Devin Funchess,Devin,Funchess,WR,6,4.0000,76.0000,232,0.0000,0.0000,4.7000,0.0000,0.0000,0.0000,0.0000,38.5000,122,17,0,Michigan,,0,0,0,5.6,15
2015,Devin Funchess,Devin,Funchess,WR,6,4.0000,76.0000,232,0.0000,0.0000,4.7000,0.0000,0.0000,0.0000,0.0000,38.5000,122,17,0,Michigan,,0,0,0,5.6,16
2015,Melvin Gordon,Melvin,Gordon,RB,6,1.0000,73.0000,215,0.0000,0.0000,4.5200,0.0000,0.0000,4.0700,7.0400,35.0000,126,19,0,Wisconsin,,0,0,0,6.2,13
2015,Melvin Gordon,Melvin,Gordon,RB,6,1.0000,73.0000,215,0.0000,0.0000,4.5200,0.0000,0.0000,4.0700,7.0400,35.0000,126,19,0,Wisconsin,,0,0,0,6.2,14
2015,Dorial Green-Beckham,Dorial,Green-Beckham,WR,6,5.0000,77.0000,237,0.0000,0.0000,4.4900,0.0000,0.0000,4.4500,6.8900,33.5000,119,13,0,Missouri,,0,0,0,5.7,15
2015,Dorial Green-Beckham,Dorial,Green-Beckham,WR,6,5.0000,77.0000,237,0.0000,0.0000,4.4900,0.0000,0.0000,4.4500,6.8900,33.5000,119,13,0,Missouri,,0,0,0,5.7,16
2015,Rashad Greene,Rashad,Greene,WR,5,11.0000,71.0000,182,0.0000,0.0000,4.5300,0.0000,0.0000,4.1200,6.8800,36.5000,122,0,0,Florida St.,,0,0,0,5.7,8
2015,Rashad Greene,Rashad,Greene,WR,5,11.0000,71.0000,182,0.0000,0.0000,4.5300,0.0000,0.0000,4.1200,6.8800,36.5000,122,0,0,Florida St.,,0,0,0,5.7,9
2015,Todd Gurley,Todd,Gurley,RB,6,1.0000,73.0000,222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,17,0,Georgia,,0,0,0,6.3,16
2015,Todd Gurley,Todd,Gurley,RB,6,1.0000,73.0000,222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,17,0,Georgia,,0,0,0,6.3,13
