position,heightinchestotal,weight,fortyyd,twentyss,vertical,broad,threecone,picktotal
WR,74.0000,215,4.4000,4.2600,28.0000,126,0.0000,34
WR,78.0000,232,4.5900,4.4400,30.0000,115,0.0000,246
WR,73.0000,198,4.3900,4.2500,37.0000,127,6.8100,146
WR,75.0000,208,4.5300,4.1900,36.0000,129,6.6900,227
WR,70.0000,181,4.5000,4.1400,35.5000,115,0.0000,128
WR,71.0000,174,4.3000,4.2100,0.0000,123,0.0000,74
WR,74.0000,211,4.5700,0.0000,32.5000,117,0.0000,188
WR,73.0000,193,4.4400,4.0800,38.0000,123,6.5400,32
WR,77.0000,239,4.3500,0.0000,42.5000,139,0.0000,2
WR,74.0000,225,4.4100,0.0000,40.0000,119,0.0000,172
WR,76.0000,200,4.5100,4.3400,39.5000,119,7.0900,44
WR,73.0000,197,4.4400,4.1900,38.0000,120,6.6800,51
WR,74.0000,204,4.5000,4.2800,36.0000,122,7.2200,197
WR,74.0000,209,4.3500,4.3900,36.5000,121,0.0000,79
WR,71.0000,192,4.5700,4.2100,34.0000,116,0.0000,251
WR,75.0000,201,4.3500,4.1700,39.0000,120,0.0000,233
WR,74.0000,208,4.4500,4.0700,36.0000,124,0.0000,82
WR,73.0000,208,4.5900,4.1500,32.0000,116,0.0000,171
WR,71.0000,190,4.4100,4.2000,38.0000,124,6.7800,57
WR,73.0000,213,4.3200,4.0300,38.5000,122,0.0000,36
WR,69.0000,181,4.4400,4.1600,37.5000,118,0.0000,184
WR,71.0000,197,4.4200,4.1800,36.5000,117,6.6900,52
WR,77.0000,229,4.5200,4.3100,37.0000,120,6.9600,119
WR,73.0000,205,4.4300,0.0000,39.5000,0,0.0000,249
WR,74.0000,198,4.4400,4.1600,35.5000,119,7.3100,172
WR,71.0000,188,4.3400,4.2600,37.5000,117,0.0000,95
WR,73.0000,240,4.4900,0.0000,36.5000,118,0.0000,175
WR,75.0000,202,4.4000,4.2500,37.0000,118,0.0000,218
WR,74.1250,211,4.4000,4.0800,37.0000,126,6.8100,190
WR,70.0000,179,4.4800,4.0900,34.5000,115,0.0000,84
WR,74.0000,214,4.4700,4.0300,36.5000,120,0.0000,78
WR,75.0000,210,4.4500,0.0000,0.0000,0,0.0000,3
WR,76.0000,196,4.5500,4.1400,38.5000,126,0.0000,131
WR,77.0000,241,4.4600,4.0000,39.0000,129,6.8400,61
WR,71.0000,181,4.2600,0.0000,35.5000,123,0.0000,114
WR,68.0000,183,4.6200,3.9500,37.0000,116,0.0000,185
WR,70.0000,170,4.3700,4.2000,36.0000,126,6.6400,55
WR,75.0000,219,4.4600,0.0000,34.0000,116,0.0000,190
WR,71.0000,212,4.5700,4.3900,33.0000,117,0.0000,192
WR,73.0000,213,4.7100,0.0000,31.5000,0,0.0000,225
WR,69.0000,179,4.5800,4.0900,33.5000,120,0.0000,244
WR,73.0000,212,4.5200,4.2700,37.0000,129,7.3900,82
WR,71.0000,197,4.3900,0.0000,34.5000,120,0.0000,13
WR,74.8750,225,4.4800,4.2800,38.0000,0,6.9400,3
WR,69.0000,198,4.3300,4.0600,38.5000,114,0.0000,99
WR,75.0000,199,4.5300,4.1000,41.0000,131,0.0000,157
WR,74.0000,191,4.5700,0.0000,34.0000,118,0.0000,149
WR,71.0000,176,4.3900,0.0000,36.0000,0,0.0000,105
WR,76.0000,210,4.5400,0.0000,34.5000,0,0.0000,164
WR,74.0000,209,4.5900,0.0000,39.5000,121,0.0000,127
WR,73.0000,217,4.5800,4.0600,35.0000,117,6.7400,197
WR,73.0000,216,4.7200,4.3300,33.5000,114,7.3500,54
WR,76.0000,223,4.3400,4.2600,38.0000,127,6.7300,60
WR,74.0000,213,4.5200,4.1600,35.5000,116,0.0000,167
WR,73.0000,205,4.4400,4.4300,34.5000,116,0.0000,231
WR,74.0000,230,4.4000,4.1000,39.0000,132,0.0000,3
WR,71.0000,201,4.3800,0.0000,38.5000,127,0.0000,45
WR,78.0000,247,4.6100,0.0000,33.5000,0,0.0000,63
WR,73.0000,215,4.4900,4.2600,32.0000,119,0.0000,158
WR,73.0000,202,4.6700,4.2300,36.0000,119,0.0000,169
WR,70.0000,193,4.6600,4.1100,34.5000,115,0.0000,139
WR,77.0000,214,4.5400,4.2500,39.0000,121,6.9000,226
WR,73.0000,194,4.5300,4.1000,41.5000,130,0.0000,48
WR,73.0000,190,4.3200,3.9300,39.0000,126,0.0000,46
WR,75.0000,207,4.5200,4.0900,36.5000,122,7.0200,142
WR,74.0000,194,4.4200,4.1000,39.5000,123,0.0000,47
WR,75.0000,193,4.5600,4.0600,0.0000,0,0.0000,33
WR,73.0000,217,4.5600,4.1300,40.5000,126,0.0000,253
WR,75.0000,225,4.7000,4.0200,34.5000,118,0.0000,123
WR,73.0000,190,4.5500,4.1700,32.5000,119,0.0000,202
WR,74.0000,203,4.4700,4.0900,36.5000,123,0.0000,149
WR,74.0000,200,4.6900,4.2700,33.5000,117,0.0000,222
WR,70.0000,191,4.4900,0.0000,0.0000,0,0.0000,62
WR,73.0000,200,4.4900,0.0000,0.0000,0,0.0000,151
WR,75.0000,210,4.3800,4.0500,39.5000,126,6.8600,20
WR,74.0000,184,4.5700,0.0000,34.5000,115,0.0000,148
WR,77.0000,201,4.4700,0.0000,30.5000,110,0.0000,140
WR,73.0000,180,4.3500,4.2500,42.5000,134,7.2800,162
WR,73.0000,210,4.3300,4.0000,45.0000,134,0.0000,52
WR,73.0000,205,4.4800,4.0700,36.5000,120,0.0000,41
WR,71.0000,195,4.5500,3.9600,35.5000,114,6.9800,235
WR,74.0000,219,4.4800,0.0000,36.0000,0,0.0000,15
WR,73.0000,183,4.3900,0.0000,32.0000,0,0.0000,214
WR,74.2500,204,4.4900,0.0000,43.0000,134,0.0000,131
WR,73.0000,192,4.5700,4.1400,33.0000,108,0.0000,36
WR,73.0000,199,4.4200,3.7300,43.5000,126,0.0000,190
WR,73.0000,199,4.6100,0.0000,35.5000,0,0.0000,245
WR,76.0000,242,4.7600,0.0000,37.0000,127,0.0000,198
WR,74.0000,209,4.5100,3.9900,41.0000,129,0.0000,124
WR,73.0000,196,4.3400,0.0000,39.0000,0,0.0000,229
WR,71.0000,183,4.4000,3.9300,35.5000,115,0.0000,218
WR,75.0000,213,4.4300,0.0000,38.0000,0,0.0000,8
WR,73.0000,198,4.4500,0.0000,36.0000,0,0.0000,30
WR,73.0000,199,4.5500,4.1600,34.0000,117,0.0000,79
WR,75.0000,199,4.5600,4.2900,37.5000,121,0.0000,111
WR,71.0000,173,4.6600,0.0000,0.0000,0,0.0000,200
WR,73.0000,197,4.5600,0.0000,0.0000,0,0.0000,80
WR,74.0000,202,4.5600,4.2500,35.5000,125,7.3000,242
WR,71.0000,175,4.4300,4.0400,37.5000,123,0.0000,32
WR,74.0000,205,4.6600,4.1300,39.5000,129,0.0000,172
WR,73.0000,194,4.5900,0.0000,33.5000,119,0.0000,99
WR,73.0000,199,4.4300,0.0000,37.0000,118,7.1500,10
WR,67.0000,171,4.5500,3.8400,32.5000,106,0.0000,165
WR,73.0000,205,4.3300,3.9900,40.0000,121,0.0000,82
WR,73.0000,167,4.4600,4.0300,36.5000,126,0.0000,164
WR,73.0000,212,4.5300,4.1600,33.0000,112,0.0000,148
WR,70.0000,191,4.5700,4.1600,36.5000,118,0.0000,13
WR,73.0000,203,4.5100,4.1800,39.5000,118,0.0000,193
WR,71.0000,194,4.4100,3.8600,36.5000,115,0.0000,32
WR,73.0000,200,4.4600,0.0000,35.5000,118,0.0000,108
WR,68.0000,164,4.4700,4.1400,32.5000,112,0.0000,98
